Key	Type	English	French	German	Spanish	Portuguese	Chinese (Simplified)	Chinese (Traditional)	Russian	Indonesian	Vietnamese	Thai	Japanese	Korean	Arabic
140023	Text	Phone	Téléphone	Telefon	Teléfono	Telefone	Phone	Phone	Телефон	Telepon	Điện thoại	โทรศัพท์	電話	핸드폰	هاتف
140024	Text	Please enter	Veuillez remplir	Bitte füllen Sie aus	Por favor complete	Favor entrar	请填写	請填寫	Пожалуйста заполните	Tolong isi	Vui lòng điền	กรุณากรอกข้อมูล	記入してください	작성 해주세요	املأ من فضلك
140025	Text	Submit	soumettre	einreichen	entregar	Enviar para	提交	提交	представлять на рассмотрение	kirim	nộp	ส่ง	送信	제출하다	يُقدِّم
140026	Text	Sound	Effet sonore	Sound-Effekt	Efecto de sonido	Som	音效	音效	Звуковой эффект	Efek suara	Hiệu ứng âm thanh	เสียงประกอบ	サウンドエフェクト	음향 효과	تأثيرات صوتية
140027	Text	ON	ouvrir	offen	abierto	ON	开	開	открыть	membuka	mở	เปิด	開ける	열려 있는	يفتح
140028	Text	OFF	fermer	schließen	cerca	OFF	关	關	закрывать	menutup	đóng	ปิด	近い	닫다	يغلق
140029	Text	Step 	Marcher 	Schritt 	Paso 	Procedimentos 	步骤 	步驟 	шаг 	melangkah 	bước chân 	ขั้นตอน 	ステップ 	단계 	 خطوة
140030	Text	Completed!	Étape!	Fertig!	¡Acabado de paso!	Concluídos!	步骤完成！	步驟完成！	Шаг!	Langkah Selesai!	Bước kết thúc!	ขั้นตอนจบ!	ステップ終了！	스텝 마감!	الانتهاء من الخطوة!
140031	Text	Next	L'étape suivante	Nächster Schritt	Próximo paso	Próximo	下一步	下一步	Следующий шаг	Langkah berikutnya	Bước tiếp theo	ขั้นตอนต่อไป	次のステップ	다음 단계	الخطوة التالية
140032	Text	Reward:	décerner:	vergeben:	otorgar:	Recompensa:	奖励：	獎勵：	Награда:	menghadiahkan:	phần thưởng:	รางวัล:	アワード：	상:	جائزة:
140033	Text	Continue	continuer	weitermachen	continuar	Continuar	继续	繼續	продолжать	melanjutkan	Tiếp tục	ดำเนินการต่อ	続く	계속하다	يكمل
140034	Text	Tap to continue	Cliquez pour continuer	Klicke um Fortzufahren	Haz click para continuar	Toque para continuar	点击继续	點擊繼續	Нажмите для продолжения	Klik untuk melanjutkan	Click để tiếp tục	คลิกเพื่อดำเนินการต่อ	続けるにはクリック	계속하려면 클릭하십시오	انقر للمتابعة
140035	Text	Dress her up	S'habiller pour elle	Sich für sie verkleiden	Vístete para ella	Vesti-la	为她打扮	為她打扮	Одеваться для нее	Berdandan untuknya	Mặc quần áo cho cô ấy	แต่งตัวเพื่อเธอ	彼女のためにドレスアップ	그녀를 위해 옷을 입으십시오	لباسها
140036	Text	Save	sauvegarder	speichern	ahorrar	Salvar	保存	保存	сохранять	menyimpan	cứu	บันทึก	保存	구하다	يحفظ
140037	Text	Share	partager	Aktie	compartir	Compartilhar	分享	分享	делиться	membagikan	chia sẻ	แบ่งปัน	共有	공유하다	يشارك
140038	Text	Replay	Rejouer	Wiederholung	Repetición	Repetir	重玩	重玩	Воспроизводить	Memutar ulang	phát lại	เล่นใหม่	リプレイ	다시 하다	إعادة
140039	Text	Send a message	Envoyer un message	Eine Nachricht schicken	Enviar un mensaje	Envie uma mensagem	发来了一条消息	發來了一條消息	Отправить сообщение	Kirim pesan	Gửi tin nhắn	ส่งข้อความ	メッセージを送ります	메세지를 보내다	ارسل رسالة
140040	Text	Now	juste	Nur	justo	Agora	刚刚	剛剛	только	hanya	chỉ	แค่	ただ	단지	فقط
140041	Text	Day {0}	{0} ciel	{0} Sky	{0} cielo	{0} céu	第{0}天	第{0}天	{0} небо	{0} langit	{0} bầu trời	{0} ท้องฟ้า	{0}空	{0} 하늘	{0} السماء
140042	Text	Claim	Remporter un prix	Einen Preis nehmen	Tomar un premio	Pegue um prêmio	领奖	領獎	Принять приз	Ambil hadiah	Nhận một giải thưởng	รับรางวัล	賞を受賞してください	상을 받으세요	خذ جائزة
140043	Text	Today	aujourd'hui	Heute	hoy	hoje	今天	今天	сегодня	Hari ini	Hôm nay	วันนี้	今日	오늘	اليوم
140044	Text	Rate Us	Louange à cinq étages	Fünf -St. -Lob	Alabanza de cinco estrellas	Elogios de cinco estrelas	五星好评	五星好評	Пять -звездная похвала	Pujian lima bintang	Lời khen ngợi năm -star	การสรรเสริญห้า -ดาว	5つのスターの賞賛	다섯 자극 칭찬	خمسة مدح
140045	Text	If you like our game, please give us 5 stars and praise!	Si vous aimez notre jeu, veuillez nous faire des éloges de 5 étoiles!	Wenn Sie unser Spiel mögen, geben Sie uns bitte 5 Sterne Lob!	Si te gusta nuestro juego, ¡por favor danos 5 estrellas elogios!	Se você gosta do nosso jogo, por favor, dê -nos 5 estrelas elogie!	如果你喜欢我们游戏，请给我们5星好评！	如果你喜歡我們遊戲，請給我們5星好評！	Если вам нравится наша игра, пожалуйста, дайте нам похвалу 5 звезд!	Jika Anda menyukai permainan kami, tolong beri kami 5 bintang pujian!	Nếu bạn thích trò chơi của chúng tôi, xin vui lòng cho chúng tôi lời khen ngợi 5 sao!	ถ้าคุณชอบเกมของเราโปรดให้เราสรรเสริญ 5 ดาว!	あなたが私たちのゲームが好きなら、私たちに5つ星の賞賛を与えてください！	당신이 우리 게임을 좋아한다면, 우리에게 별 5 개를 찬양 해주세요!	إذا كنت تحب لعبتنا ، فالرجاء إعطائنا 5 نجوم الثناء!
140046	Text	Rate Now	score	Punktzahl	puntaje	pontuação	评分	評分	счет	skor	điểm	คะแนน	スコア	점수	نتيجة
140047	Text	Monday	Lundi	Montag	Lunes	Segunda-feira	星期一	星期一	Понедельник	Senin	Thứ hai	วันจันทร์	月曜日	월요일	الاثنين
140048	Text	Tuesday	Mardi	Dienstag	Martes	Terça-feira	星期二	星期二	Вторник	Selasa	Thứ ba	วันอังคาร	火曜日	화요일	يوم الثلاثاء
140049	Text	Wednesday	Mercredi	Mittwoch	Miércoles	Quarta-feira	星期三	星期三	Среда	Rabu	Thứ Tư	วันพุธ	水曜日	수요일	الأربعاء
140050	Text	Thursday	Jeudi	Donnerstag	Jueves	Quinta-feira	星期四	星期四	Четверг	Kamis	Thứ năm	วันพฤหัสบดี	木曜日	목요일	يوم الخميس
140051	Text	Friday	Vendredi	Freitag	Viernes	Sexta-feira	星期五	星期五	Пятница	Jumat	Thứ sáu	วันศุกร์	金曜日	금요일	جمعة
140052	Text	Saturday	Samedi	Samstag	Sábado	Sábado	星期六	星期六	Суббота	Sabtu	Thứ bảy	วันเสาร์	土曜日	토요일	السبت
140053	Text	Sunday	Dimanche	Sonntag	Domingo	Domingo	星期天	星期天	Воскресенье	Minggu	Chủ nhật	วันอาทิตย์	日曜日	일요일	الأحد
140054	Text	January	Janvier	Januar	Enero	Janeiro	1月	1月	Январь	Januari	Tháng Một	มกราคม	1月	1월	يناير
140055	Text	February	Février	Februar	Febrero	Fevereiro	2月	2月	Февраль	Februari	Tháng hai	กุมภาพันธ์	2月	2월	شهر فبراير
140056	Text	March	Mars	Marsch	Marzo	Marchar	3月	3月	Маршировать	Berbaris	Bước đều	มีนาคม	行進	3월	يمشي
140057	Text	April	Avril	April	Abril	abril	4月	4月	апрель	April	Tháng tư	เมษายน	4月	4월	أبريل
140058	Text	May	Peut	Dürfen	Puede	Poderia	5月	5月	Может	Mungkin	Có thể	อาจ	5月	5월	يمكن
140059	Text	June	Juin	Juni	Junio	Junho	6月	6月	Июнь	Juni	Tháng sáu	มิถุนายน	六月	6월	يونيو
140060	Text	July	Juillet	Juli	Julio	Julho	7月	7月	Июль	Juli	Tháng bảy	กรกฎาคม	7月	칠월	يوليو
140061	Text	August	Août	August	Agosto	Agosto	8月	8月	Август	Agustus	Tháng tám	สิงหาคม	8月	팔월	أغسطس
140062	Text	September	Septembre	September	Septiembre	Setembro	9月	9月	Сентябрь	September	Tháng 9	กันยายน	9月	구월	سبتمبر
140063	Text	October	Octobre	Oktober	Octubre	Outubro	10月	10月	Октябрь	Oktober	Tháng Mười	ตุลาคม	10月	십월	اكتوبر
140064	Text	November	Novembre	November	Noviembre	novembro	11月	11月	Ноябрь	November	Tháng mười một	พฤศจิกายน	11月	십일월	شهر نوفمبر
140065	Text	December	Décembre	Dezember	Diciembre	dezembro	12月	12月	Декабрь	Desember	Tháng 12	ธันวาคม	12月	12월	ديسمبر
140066	Text	English	Français	Deutsch	Español	Português	简体中文	繁體中文	Русский язык	Bahasa Indonesia	Tiếng Việt	ภาษาไทย	日本語	한국어	اللغة العربية
140067	Text	Language	Langue	Sprache	Idioma	Linguagem	语言	語言	язык	Bahasa	Ngôn ngữ	ภาษา	言語	언어	لغة
140068	Text	Please check your Internet connection and try again later	Veuillez vérifier votre réseau et réessayer	Bitte überprüfen Sie Ihr Netzwerk und versuchen Sie es erneut	Consulte su red y vuelva a intentarlo	Por favor, verifique sua rede e tente novamente	请检查您的网络并重试	請檢查您的網絡並重試	Пожалуйста, проверьте свою сеть и попробуйте еще раз	Silakan periksa jaringan Anda dan coba lagi	Vui lòng kiểm tra mạng của bạn và thử lại	โปรดตรวจสอบเครือข่ายของคุณและลองอีกครั้ง	ネットワークをチェックして、もう一度やり直してください	네트워크를 확인하고 다시 시도하십시오	يرجى التحقق من شبكتك والمحاولة مرة أخرى
140069	Text	Cleaning the dressing room ...	Nettoyage du dressing ...	Reinigen Sie die Ankleidekabine ...	Limpiar el vestuario ...	Limpando o camarim ...	正在打扫化妆间...	正在打掃化妝間...	Очистка гардеробной ...	Membersihkan ruang ganti ...	Dọn dẹp phòng thay đồ ...	ทำความสะอาดห้องแต่งตัว ...	楽屋を掃除する...	탈의실 청소 ...	تنظيف غرفة الملابس ...
140070	Text	Loading ad, please wait...	Préparation de la publicité	Werbevorbereitung	Preparación publicitaria	Preparação de publicidade	广告准备中	廣告準備中	Рекламная подготовка	Persiapan iklan	Chuẩn bị quảng cáo	การเตรียมการโฆษณา	広告の準備	광고 준비	إعداد الإعلان
140071	Text	Levels {0}	Niveaux {0}	Ebenen {0}	Niveles {0}	Níveis {0}	关卡 {0}	關卡 {0}	Уровни {0}	Level {0}	Cấp độ {0}	ระดับ {0}	レベル{0}	레벨 {0}	المستويات {0}
140072	Text	Click here to enter the room	Cliquez ici pour entrer dans la pièce	Klicken Sie hier, um den Raum zu betreten	Haga clic aquí para ingresar a la habitación	Clique aqui para entrar na sala	点击这里进入房间	點擊這裡進入房間	Нажмите здесь, чтобы войти в комнату	Klik di sini untuk memasuki ruangan	Bấm vào đây để vào phòng	คลิกที่นี่เพื่อเข้าห้อง	部屋に入るにはここをクリックしてください	방에 들어가려면 여기를 클릭하십시오	انقر هنا لدخول الغرفة
140073	Text	Here you can upgrade the room, and more makeup income will be provided after upgrading.	Ici, vous pouvez mettre à niveau la salle, et davantage de revenus de maquillage seront fournis après la mise à niveau.	Hier können Sie den Raum aktualisieren, und nach dem Upgrade werden mehr Make -up -Einnahmen erzielt.	Aquí puede actualizar la habitación y se proporcionarán más ingresos de maquillaje después de actualizar.	Aqui você pode atualizar a sala e mais renda de maquiagem será fornecida após a atualização.	在这里你可以升级房间，升级后将提供更多化妆收入。	在這裡你可以升級房間，升級後將提供更多化妝收入。	Здесь вы можете обновить комнату, и после обновления будет предоставлено больше дохода для макияжа.	Di sini Anda dapat meningkatkan ruangan, dan lebih banyak pendapatan makeup akan disediakan setelah meningkatkan.	Tại đây bạn có thể nâng cấp phòng và thu nhập trang điểm nhiều hơn sẽ được cung cấp sau khi nâng cấp.	ที่นี่คุณสามารถอัพเกรดห้องพักและรายได้แต่งหน้าจะได้รับหลังจากการอัพเกรด	ここでは、部屋をアップグレードできます。アップグレード後にメイクアップ収入が提供されます。	여기에서 객실을 업그레이드 할 수 있으며 업그레이드 후 더 많은 메이크업 수입이 제공됩니다.	هنا يمكنك ترقية الغرفة ، وسيتم توفير المزيد من دخل المكياج بعد الترقية.
140074	Text	Successfully saved, the picture has been saved to the album.	Sauvé avec succès, l'image a été enregistrée dans l'album.	Das Bild wurde erfolgreich gespeichert und wurde auf dem Album gespeichert.	Guardado con éxito, la imagen se ha guardado en el álbum.	Com sucesso, a imagem foi salva no álbum.	保存成功，图片已保存至相册。	保存成功，圖片已保存至相冊。	Успешно сохранилась, картина была сохранена на альбоме.	Berhasil disimpan, gambar telah disimpan ke album.	Được lưu thành công, hình ảnh đã được lưu vào album.	บันทึกสำเร็จภาพได้รับการบันทึกไว้ในอัลบั้ม	保存に成功し、写真はアルバムに保存されました。	성공적으로 저장하면 사진이 앨범에 저장되었습니다.	تم حفظ الصورة بنجاح ، وقد تم حفظ الصورة في الألبوم.
140075	Text	The preservation failed and did not obtain the storage authority.	La préservation a échoué et n'a pas obtenu l'autorité de stockage.	Die Erhaltung scheiterte und erhielt die Lagerbehörde nicht.	La preservación falló y no obtuvo la autoridad de almacenamiento.	A preservação falhou e não obteve a autoridade de armazenamento.	保存失败，未获得存储权限。	保存失敗，未獲得存儲權限。	Сохранение не удалось и не получило полномочий хранения.	Pelestarian gagal dan tidak mendapatkan otoritas penyimpanan.	Việc bảo quản thất bại và không có được cơ quan lưu trữ.	การเก็บรักษาล้มเหลวและไม่ได้รับหน่วยงานจัดเก็บข้อมูล	保存は失敗し、貯蔵機関を取得しませんでした。	보존은 실패했고 스토리지 권한을 얻지 못했습니다.	فشل الحفظ ولم يحصل على سلطة التخزين.
150001	Text	Room 1	Salle 1	Raum 1	Habitación 1	Sala 1	房间1	房間1	Комната 1	Kamar 1	Phòng 1	ห้อง 1	部屋1	방 1	غرفة 1
150002	Text	Room 2	Salle 2	Raum 2	Habitación 2	Sala 2	房间2	房間2	Комната 2	Kamar 2	Phòng 2	ห้อง 2	部屋2	방 2	الغرفة 2
1010101	Text	I'm a new high school student. Our school will hold a new student party this weekend.	Je suis un étudiant de première année au lycée. Ce week-end, l'école organisera une fête de bienvenue.	Ich bin ein Neuling in der High School. An diesem Wochenende wird die Schule eine willkommene Party veranstalten.	Soy un estudiante de primer año en la escuela secundaria. Este fin de semana, la escuela celebrará una fiesta de bienvenida.	Eu sou um novo estudante do ensino médio. Nossa escola realizará uma nova festa de estudantes neste fim de semana.	我是一名高中新生，这周末，学校将举行迎新晚会。	我是一名高中新生，這週末，學校將舉行迎新晚會。	Я новичок в старшей школе. В эти выходные школа проведет желанную вечеринку.	Saya seorang mahasiswa baru di sekolah menengah. Akhir pekan ini, sekolah akan mengadakan pesta selamat datang.	Tôi là sinh viên năm nhất ở trường trung học. Cuối tuần này, trường sẽ tổ chức một bữa tiệc chào mừng.	ฉันเป็นน้องใหม่ในโรงเรียนมัธยมสุดสัปดาห์นี้โรงเรียนจะจัดงานเลี้ยงต้อนรับ	私は高校の新入生です。今週末、学校はウェルカムパーティーを開催します。	저는 고등학교 신입생입니다. 이번 주말에 학교는 환영 파티를 열 것입니다.	أنا طالبة في المدرسة الثانوية. في نهاية هذا الأسبوع ، ستعقد المدرسة حفلة ترحيبية.
1010102	Text	I'll make a speech as our class's representative. But I know nothing about makeup.	Je parlerai à la fête en tant que représentant de la classe, mais je ne sais rien du maquillage.	Ich werde auf der Party als Vertreter der Klasse sprechen, aber ich weiß nichts über Make -up.	Hablaré en la fiesta como representante de la clase, pero no sé nada sobre maquillaje.	Farei um discurso como representante da nossa turma. Mas eu não sei nada sobre maquiagem.	我将以班级代表的身份在晚会上发言，可是我对化妆一无所知。	我將以班級代表的身份在晚會上發言，可是我對化妝一無所知。	Я буду говорить на партии как представитель класса, но я ничего не знаю о макияже.	Saya akan berbicara di pesta itu sebagai perwakilan kelas, tetapi saya tidak tahu apa -apa tentang makeup.	Tôi sẽ nói chuyện tại bữa tiệc với tư cách là đại diện của lớp, nhưng tôi không biết gì về trang điểm.	ฉันจะพูดในงานปาร์ตี้ในฐานะตัวแทนของชั้นเรียน แต่ฉันไม่รู้อะไรเลยเกี่ยวกับการแต่งหน้า	私はパーティーでクラスの代表として話しますが、メイクについては何も知りません。	나는 파티에서 수업의 대표로 말할 것이지만, 메이크업에 대해서는 아무것도 모른다.	سأتحدث في الحزب كممثل للفصل ، لكنني لا أعرف شيئًا عن المكياج.
1010103	Text	You're the best makeup artist here. I really need your help!	Vous êtes le meilleur maquilleur ici. J'ai vraiment besoin de ton aide!	Sie sind der beste Maskenbildner hier. Ich brauche wirklich deine Hilfe!	Eres el mejor maquillador aquí. ¡En serio necesito tu ayuda!	Você é a melhor maquiadora aqui. Eu realmente preciso de sua ajuda!	你是这儿最好的化妆师。我非常需要你的帮助！	你是這兒最好的化妝師。我非常需要你的幫助！	Вы лучший визажист здесь. Мне действительно нужна твоя помощь!	Anda adalah penata rias terbaik di sini. Saya sangat membutuhkan bantuan Anda!	Bạn là nghệ sĩ trang điểm tốt nhất ở đây. Tôi thực sự cần giúp đỡ của bạn!	คุณเป็นช่างแต่งหน้าที่ดีที่สุดที่นี่ ฉันต้องการความช่วยเหลือจากคุณจริงๆ!	あなたはここで最高のメイクアップアーティストです。本当にあなたの助けが必要です！	당신은 최고의 메이크업 아티스트입니다. 나는 정말로 당신의 도움이 필요합니다!	أنت أفضل فنان مكياج هنا. أنا حقا بحاجة الى مساعدتكم!
1010201	Text	Dear, this is incredible! The cheerleader noticed me at the party.	Cher, incroyable! Le capitaine La La m'a remarqué à la fête.	Lieber, unglaublich! Captain La La bemerkte mich auf der Party.	¡Querido, increíble! El capitán La La notó en la fiesta.	Querida, isto é incrível! O chefe de torcida me notou na festa.	亲爱的，不可思议！啦啦队长在晚会上注意到我了。	親愛的，不可思議！啦啦隊長在晚會上註意到我了。	Дорогой, невероятно! Капитан Ла Ла заметил меня на вечеринке.	Sayang, luar biasa! Kapten La La memperhatikan saya di pesta itu.	Thân mến, không thể tin được! Thuyền trưởng La La nhận thấy tôi trong bữa tiệc.	ที่รักเหลือเชื่อ! กัปตันลาลาสังเกตเห็นฉันในงานปาร์ตี้	親愛なる、信じられないほど！ラ・ラ・キャプテンはパーティーで私に気づいた。	친애하는, 대단히! La La 선장은 파티에서 나를 알아 차렸다.	عزيزي ، لا يصدق! لاحظني الكابتن لا لا في الحفلة.
1010202	Text	Great. You deserve that!	C'est génial, tu en veux!	Es ist großartig, du bist es wert!	¡Es genial, vale la pena!	Ótimo. Você merece isso!	太棒了，你值得的！	太棒了，你值得的！	Это здорово, ты того стоит!	Hebat, Anda layak!	Thật tuyệt, bạn đáng giá!	เยี่ยมมากคุณคุ้มค่า!	それは素晴らしいです、あなたはそれだけの価値があります！	대단해, 당신은 그만한 가치가 있습니다!	إنه لأمر رائع ، أنت تستحق ذلك!
1010203	Text	She wants me to join the election of cheerleaders. But I don't know if I can make it.	Elle espère pouvoir participer au nouveau venu de l'équipe de cheerleading de l'école, mais je n'ai aucune confiance en cette affaire.	Sie hofft, dass ich am Newcomer des Cheerleading -Teams der Schule teilnehmen kann, aber ich habe kein Vertrauen in diese Angelegenheit.	Ella espera poder participar en el recién llegado del equipo de porristas de la escuela, pero no tengo confianza en este asunto.	Ela quer que eu participe da eleição das líderes de torcida. Mas não sei se conseguirei.	她希望我可以参加校啦啦队的新人选拔，可是我对这件事没有信心。	她希望我可以參加校啦啦隊的新人選拔，可是我對這件事沒有信心。	Она надеется, что я смогу принять участие в новичке школьной команды болельщиков, но я не уверен в этом вопросе.	Dia berharap bahwa saya dapat berpartisipasi dalam pendatang baru tim pemandu sorak sekolah, tetapi saya tidak percaya pada masalah ini.	Cô ấy hy vọng rằng tôi có thể tham gia vào người mới đến của đội cổ vũ của trường, nhưng tôi không tin tưởng vào vấn đề này.	เธอหวังว่าฉันจะมีส่วนร่วมในผู้มาใหม่ของทีมเชียร์ลีดเดอร์ของโรงเรียน แต่ฉันไม่มีความมั่นใจในเรื่องนี้	彼女は私が学校のチアリーディングチームの新人に参加できることを望んでいますが、私はこの問題に自信がありません。	그녀는 학교 치어 리딩 팀의 신규 이민자에 참여할 수 있기를 희망하지만이 문제에 대해 확신은 없습니다.	إنها تأمل أن أتمكن من المشاركة في الوافد الجديد لفريق التشجيع في المدرسة ، لكن ليس لدي ثقة في هذا الأمر.
1010204	Text	Leave it to me! I will make the brightest star of the election.	donne le moi! Je vais vous faire l'objectif du public.	Gib es mir! Ich werde Ihnen den Schwerpunkt des Publikums machen.	¡Déme! Te haré el foco de la audiencia.	Deixe isso comigo! Eu farei a estrela mais brilhante da eleição.	交给我吧！我会让你成为全场的焦点。	交給我吧！我會讓你成為全場的焦點。	дай это мне! Я сделаю вас центром аудитории.	berikan padaku! Saya akan menjadikan Anda fokus penonton.	đưa nó cho tôi! Tôi sẽ làm cho bạn tập trung của khán giả.	ส่งมาให้ฉัน! ฉันจะทำให้คุณเป็นจุดสนใจของผู้ชม	私にそれを与えてください！私はあなたを聴衆の焦点にします。	그걸 나에게주세요! 나는 당신을 청중의 초점으로 만들 것입니다.	اعطني اياه! سأجعلك محور الجمهور.
1010301	Text	I joined the squad! I made it!	J'ai réussi à rejoindre l'équipe de cheerleading! Vous l'avez vraiment réalisé!	Ich bin erfolgreich dem Cheerleading -Team beigetreten! Du hast es wirklich erreicht!	¡Me uní con éxito al equipo de porristas! ¡Realmente lo lograste!	Entrei no esquadrão! Eu fiz isso!	我成功加入了啦啦队！你真的实现了！	我成功加入了啦啦隊！你真的實現了！	Я успешно присоединился к команде черлидинга! Вы действительно достиг этого!	Saya berhasil bergabung dengan tim pemandu sorak! Anda benar -benar mencapainya!	Tôi đã tham gia thành công đội cổ vũ! Bạn thực sự đã đạt được nó!	ฉันเข้าร่วมทีมเชียร์ลีดเดอร์ได้สำเร็จ! คุณประสบความสำเร็จจริงๆ!	チアリーディングチームに成功しました！あなたは本当にそれを達成しました！	나는 치어 리딩 팀에 성공적으로 합류했습니다! 당신은 정말로 그것을 달성했습니다!	انضممت بنجاح إلى فريق التشجيع! لقد حققت ذلك حقًا!
1010302	Text	My classmates praised me and asked me to perform at matches.	Nos camarades de classe m'ont félicité et m'ont demandé de participer au jeu.	Unsere Klassenkameraden lobten mich und baten mich, am Spiel teilzunehmen.	Nuestros compañeros de clase me elogiaron y me pidieron que participara en el juego.	Meus colegas me elogiaram e pediram que eu atuasse nas partidas.	我们的同学称赞了我，并让我参加球赛表演。	我們的同學稱讚了我，並讓我參加球賽表演。	Наши одноклассники похвалили меня и попросили принять участие в игре.	Teman sekelas kami memuji saya dan meminta saya untuk berpartisipasi dalam permainan.	Các bạn cùng lớp của chúng tôi đã ca ngợi tôi và yêu cầu tôi tham gia vào trò chơi.	เพื่อนร่วมชั้นของเรายกย่องฉันและขอให้ฉันมีส่วนร่วมในเกม	私たちのクラスメートは私を称賛し、ゲームに参加するように頼みました。	우리 반 친구들은 저를 칭찬하고 게임에 참여하도록 요청했습니다.	أشادني زملائنا في الفصل وطلبوا مني المشاركة في اللعبة.
1010303	Text	I hope I will win everyone’s attention.	J'espère pouvoir attirer l'attention de chacun sur le terrain.	Ich hoffe, ich kann die Aufmerksamkeit aller auf den Platz erregen.	Espero poder llamar la atención de todos en la cancha.	Espero ganhar a atenção de todos.	我希望我在场上可以得到大家的关注。	我希望我在場上可以得到大家的關注。	Я надеюсь, что смогу привлечь внимание всех на корте.	Saya harap saya bisa mendapatkan perhatian semua orang di lapangan.	Tôi hy vọng tôi có thể thu hút sự chú ý của mọi người trên tòa án.	ฉันหวังว่าฉันจะได้รับความสนใจจากทุกคนในศาล	私はみんなの注意を法廷で注意を引くことができることを願っています。	법원에서 모든 사람의 관심을 끌 수 있기를 바랍니다.	آمل أن أتمكن من جذب انتباه الجميع في الملعب.
1010401	Text	Just now, the quarterback of the school team, Vincent, came to find me.	Tout à l'heure, le quartier de l'équipe de l'école - Vincent est venu me voir.	Im Moment kam das Viertel des Schulteams -Guard Vincent, zu mir.	Justo ahora, el cuarto del equipo escolar Vincent vino a mí.	Agora mesmo, o quarterback do time da escola, Vincent, veio me procurar.	刚刚，校队的四分卫Vincent来找我。	剛剛，校隊的四分衛Vincent來找我。	Сейчас ко мне пришел квартал школьной команды.	Baru saja, kuartal tim sekolah -penjaga Vincent datang kepada saya.	Ngay bây giờ, Vincent của đội bóng của đội đã đến gặp tôi.	ตอนนี้ไตรมาสของทีมโรงเรียน -Guard Vincent มาหาฉัน	ちょうど今、学校チームの四半期 - ガード・ヴィンセントが私のところに来ました。	방금 학교 팀의 쿼터 가드 Vincent가 나에게 왔습니다.	الآن فقط ، ربع فريق المدرسة -جاء لي فنسنت.
1010402	Text	Oh? That sounds great.	Oh? ça a l'air bien.	Oh? hört sich gut an.	¿Vaya? suena bien.	Oh? Isso parece ótimo.	哦？听上去不错。	哦？聽上去不錯。	ой? звучит отлично.	Oh? kedengarannya bagus.	Ồ? Nghe có vẻ tốt.	โอ้? ฟังดูเข้าท่า.	おお？いいですね。	오? 좋은 것 같습니다.	أوه؟ ًيبدو جيدا.
1010403	Text	He invites me out to the park. I agreed! Can you style an attractive look for me?	Il m'a invité au parc, j'ai accepté! Pouvez-vous m'aider à me maquiller.	Er lud mich in den Park ein, ich stimmte zu! Kannst du mir helfen, ein bewegendes Make -up zu bekommen?	Me invitó al parque, ¡estuve de acuerdo! ¿Puedes ayudarme a conseguir un maquillaje en movimiento?	Ele me convida para ir ao parque. Eu concordei! Você pode estilizar um visual atraente para mim?	他邀请我去公园，我同意了！你能帮我化一个动人的妆吗。	他邀請我去公園，我同意了！你能幫我化一個動人的妝嗎。	Он пригласил меня в парк, я согласился! Вы можете помочь мне получить движущийся макияж.	Dia mengundang saya ke taman, saya setuju! Bisakah Anda membantu saya mendapatkan riasan yang bergerak.	Anh ấy mời tôi đến công viên, tôi đồng ý! Bạn có thể giúp tôi có được một trang điểm di chuyển.	เขาเชิญฉันไปที่สวนสาธารณะฉันเห็นด้วย! คุณช่วยฉันแต่งหน้าได้ไหม	彼は私を公園に招待してくれました、私は同意しました！動くメイクを手伝ってくれませんか。	그는 나를 공원에 초대했다. 나는 동의했다! 움직이는 메이크업을 얻도록 도와 줄 수 있습니까?	دعاني إلى الحديقة ، وافقت! هل يمكنك مساعدتي في الحصول على مكياج متحرك.
1010404	Text	Relax. I can totally help you.	Ne vous inquiétez pas, je peux vous aider.	Mach dir keine Sorgen, ich kann dir helfen.	No te preocupes, puedo ayudarte.	Relaxe. Eu posso te ajudar totalmente.	放心，我完全可以帮到你。	放心，我完全可以幫到你。	Не волнуйся, я могу тебе помочь.	Jangan khawatir, saya bisa membantu Anda.	Đừng lo lắng, tôi có thể giúp bạn.	ไม่ต้องกังวลฉันสามารถช่วยคุณได้	心配しないでください、私はあなたを助けることができます。	걱정하지 마세요. 도와 드릴 수 있습니다.	لا تقلق ، يمكنني مساعدتك.
